Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK,Minimal Network,Network
879,2.206049003367673,2.135965114477022,2.0838693353541475,2.1757346703862916,1.9264658287138723,2.203711829522456,,
880,2.205548872085043,2.13582960679058,2.083489945188195,2.175513892046195,1.9264633579888997,2.2035103299924543,,
881,2.205442939013281,2.135551127620409,2.083168124380703,2.175325027881625,1.9262195063776122,2.2034265672899696,,
882,2.2052997669054903,2.135439011780095,2.082839042327971,2.175103311364657,1.9257791529795205,2.203151704492962,,
883,2.2051740862150133,2.1350618711599347,2.0824869530689814,2.174993858007845,1.9254789172073374,2.2029303716848307,,
884,2.2046500458132074,2.135012065701843,2.0823401900374936,2.174775842257452,1.9250571069762896,2.2026475276647934,,
885,2.204479865755987,2.134625918395474,2.0817119048100072,2.174497573183336,1.9246980847828086,2.202495754003347,,
886,2.2043454204813915,2.1344616802915715,2.0815546112192127,2.1743355242771636,1.924526040442771,2.2020920569938376,,
887,2.2042754986031823,2.1337111647045868,2.0812158424226057,2.174166527809255,1.9242304252949038,2.201775236114063,,
888,2.2041617095220505,2.1332048377319617,2.0809784380590295,2.1740003785668467,1.9239973037250824,2.2014864337575846,,
889,2.2040775885031323,2.1328626866458733,2.0805473608934486,2.1736357112496583,1.92390352463817,2.2012262348286242,,
890,2.203995217619786,2.1326352687895476,2.080477477277608,2.173376853110899,1.9235585384316667,2.2012135112984788,,
891,2.203819017091993,2.1324097705797174,2.0803109484497253,2.1729210690332335,1.9231658965525822,2.2010704531279837,,
892,2.20375097207036,2.132280915421096,2.079888639190705,2.1727696904685274,1.9226575338153875,2.2008083993585927,,
893,2.2034443082117807,2.1321205547718716,2.079703670232477,2.172515801068166,1.922546495188962,2.200471786756452,,
894,2.2032454630972254,2.131683729200804,2.079198260960568,2.1722498223932107,1.922224145742369,2.200410932375539,,
895,2.2028070997510745,2.1313904511114328,2.0789040777344665,2.1722286342389032,1.9218028415671484,2.2003000452722112,,
896,2.202370046984998,2.1313042050368445,2.078307304275081,2.171791646708547,1.9216717588721752,2.1999253607286895,,
897,2.2021843552798224,2.131132289200352,2.0782564002514468,2.171665631968272,1.9213014910410613,2.199575279820689,,
898,2.2021110412266096,2.1309814110560112,2.0782190242854313,2.1713003765813443,1.9208808997971627,2.199078130775734,,
899,2.2019529310035937,2.130645252288317,2.078019453634272,2.1710559580469013,1.9204749398024072,2.1988519223638674,,
900,2.201630261160971,2.130639752405042,2.077816383888965,2.1707550328441574,1.920395602307427,2.1987361779274956,,
901,2.2012654573635686,2.1304141348355676,2.0777200895075563,2.170599375476683,1.920333476574616,2.1984755184143445,,
902,2.2011350926189692,2.130389354417445,2.0774210573118155,2.1702449680665308,1.9199858443439564,2.1983601828677886,,
903,2.2009075009278565,2.13029838752614,2.0772124415041198,2.1699907199551554,1.919887915023794,2.198182999943109,,
904,2.2007919085719094,2.1298572690181192,2.0764766932493854,2.1697378625232195,1.9198459224987434,2.1977724486094847,,
905,2.2006538584875006,2.1295303184839347,2.0760984018418918,2.1697325187022236,1.9196050240487006,2.1974157683885083,,
906,2.2004116189341674,2.129342815750155,2.0758191080333845,2.169642180131295,1.9191694190982904,2.1971135922034337,,
907,2.2003092657022005,2.1290601690303093,2.0755039322252204,2.1695060152134396,1.9189290632894598,2.197021244988869,,
908,2.2001466364473306,2.1288191831607546,2.0751804658259276,2.1692416772303686,1.9182469186952065,2.196835486397046,,
909,2.199965574395949,2.128623946438121,2.075059761674123,2.169046365169936,1.9182097888851963,2.1967776443273594,,
910,2.199695759926115,2.1283742610237346,2.074848820208708,2.1689451557418122,1.917568161060545,2.196743195818124,,
911,2.1991648686866005,2.128358771048105,2.074747867551972,2.1687638673797625,1.9173230386570064,2.1962859132597607,,
912,2.198932785145834,2.1279813898856683,2.0744496607425877,2.1684262445170055,1.916947176901895,2.196093671351423,,
913,2.1986864472775176,2.1276333623390404,2.0742128810535347,2.167834675529906,1.9166154803763202,2.1958319092213414,,
914,2.1983510911962814,2.1274261456599057,2.074138784998217,2.1676847919570648,1.9165783935349376,2.1955855039369125,,
915,2.198194481923445,2.1272042732949488,2.0741043087006705,2.1674453877410387,1.9163114969787551,2.1954783013968706,,
916,2.19800165263978,2.127061860219976,2.07393193826651,2.1671872201408586,1.9158116973448147,2.195387776977051,,
917,2.1978988478675414,2.1270009025810066,2.073865371106318,2.167062242634558,1.915647200014554,2.1953765132418632,,
918,2.1977452910892166,2.1265913945731816,2.0738463177868534,2.1667975603254663,1.9153224214242746,2.1952718245312313,,
919,2.1975874036074368,2.1264626278337277,2.0737088108971427,2.1666790024555826,1.9153047737667412,2.1952103922969908,,
920,2.197520613699519,2.125965935410066,2.0734696035859277,2.166375287262973,1.915100791550696,2.1948681354664967,,
921,2.19732695605618,2.1256228900778398,2.073448586590813,2.1661003716362575,1.9145431260132533,2.194644340516524,,
922,2.1971862522647503,2.125412683982376,2.0730179071898447,2.1658952218054415,1.9142089717575472,2.194613778458634,,
923,2.1970097969547764,2.125273686338023,2.0727241632361726,2.1655152274709657,1.9139716394475035,2.1943277542457373,,
924,2.196979092818008,2.1251899692498557,2.0726502159374705,2.1652145733504717,1.9136156459206963,2.1942416179495345,,
925,2.1968273454653238,2.1249784185727427,2.0723125784450005,2.1648488912997674,1.9132434013392128,2.1942236100957673,,
926,2.196700792122144,2.1243474240430467,2.0721607606622716,2.1645678102804595,1.9126946988291478,2.1941643958541897,,
927,2.196411592892883,2.124252245047132,2.071930800622959,2.1641462572672734,1.9121510372794945,2.193968916044558,,
928,2.1963029421062013,2.1238811534070248,2.0716186433207753,2.1640928048923413,1.9118451912434489,2.193328633626597,,
929,2.196095143438356,2.123640310125658,2.0714747644163927,2.1639252108813665,1.911746526686717,2.19321209180824,,
930,2.1960709662700655,2.123390191555323,2.0709796525717685,2.1637085967738403,1.9117458182186675,2.1931368860364033,,
931,2.1957690720515632,2.123029170630428,2.070859541544701,2.163423308050328,1.911690539041932,2.1928359027778015,,
932,2.195628413641711,2.1229539824952104,2.070617018585088,2.1633558644640227,1.9113910332370514,2.1925107090525655,,
933,2.1953402558784814,2.1226899017603844,2.0702300993980223,2.1631433484082843,1.9110667151320606,2.1921597094478233,,
934,2.195269305352999,2.1223454857075232,2.069896491778009,2.1628637741108747,1.9109026012111299,2.191967189438539,,
